TRANSACTIONID;ACCOUNTID;ACCOUNTTYPEID;CUSTOMERID;CUSTOMERTYPEID;PRODUCTID;PRODUCTCATEGORYID;PROFITCENTERID;VERSION;DATE;VALUE
1;FPA1/022;INC;#;#;#;#;US10_PCC1L;Actual;20181201;0
2;FPA1/022;INC;#;#;#;#;US10_PCC1S;Actual;20181201;0
3;FPA1/022;INC;#;#;#;#;US10_PCC2L;Actual;20181201;0
4;FPA1/022;INC;#;#;#;#;US10_PCC2S;Actual;20181201;0
5;FPA1/022;INC;#;#;#;#;US10_PCC3L;Actual;20181201;12342,15
6;FPA1/022;INC;#;#;#;#;US10_PCC3S;Actual;20181201;1936,02
7;FPA1/022;INC;#;#;#;#;US10_PCM1L;Actual;20181201;0
8;FPA1/022;INC;#;#;#;#;US10_PCM1S;Actual;20181201;0
9;FPA1/022;INC;#;#;#;#;US10_PCM2L;Actual;20181201;0
10;FPA1/022;INC;#;#;#;#;US10_PCM2S;Actual;20181201;0
11;FPA1/022;INC;#;#;#;#;US10_PCM3L;Actual;20181201;0
12;FPA1/022;INC;#;#;#;#;US10_PCM3S;Actual;20181201;0
13;FPA1/022;INC;#;#;#;#;US10_PCR1L;Actual;20181201;0
14;FPA1/022;INC;#;#;#;#;US10_PCR1S;Actual;20181201;0
15;FPA1/022;INC;#;#;#;#;US10_PCR2L;Actual;20181201;0
16;FPA1/022;INC;#;#;#;#;US10_PCR2S;Actual;20181201;0
17;FPA1/022;INC;#;#;#;#;US10_PCR3L;Actual;20181201;0
18;FPA1/022;INC;#;#;#;#;US10_PCR3S;Actual;20181201;0
19;FPA1/022;INC;#;#;#;#;US10_PCY1L;Actual;20181201;42735,51
20;FPA1/022;INC;#;#;#;#;US10_PCY1S;Actual;20181201;10510,63
21;FPA1/022;INC;#;#;#;#;US10_PCY2L;Actual;20181201;17028,2
22;FPA1/022;INC;#;#;#;#;US10_PCY2S;Actual;20181201;11550,14
23;FPA1/022;INC;#;#;#;#;US10_PCY3L;Actual;20181201;25960,31
24;FPA1/022;INC;#;#;#;#;US10_PCY3S;Actual;20181201;3960,05
25;FPA1/022;INC;#;#;#;#;US10_PCC1L;Actual;20191201;0
26;FPA1/022;INC;#;#;#;#;US10_PCC1S;Actual;20191201;0
27;FPA1/022;INC;#;#;#;#;US10_PCC2L;Actual;20191201;0
28;FPA1/022;INC;#;#;#;#;US10_PCC2S;Actual;20191201;0
29;FPA1/022;INC;#;#;#;#;US10_PCC3L;Actual;20191201;15303,91
30;FPA1/022;INC;#;#;#;#;US10_PCC3S;Actual;20191201;2400,61
31;FPA1/022;INC;#;#;#;#;US10_PCM1L;Actual;20191201;0
32;FPA1/022;INC;#;#;#;#;US10_PCM1S;Actual;20191201;0
33;FPA1/022;INC;#;#;#;#;US10_PCM2L;Actual;20191201;0
34;FPA1/022;INC;#;#;#;#;US10_PCM2S;Actual;20191201;0
35;FPA1/022;INC;#;#;#;#;US10_PCM3L;Actual;20191201;0
36;FPA1/022;INC;#;#;#;#;US10_PCM3S;Actual;20191201;0
37;FPA1/022;INC;#;#;#;#;US10_PCR1L;Actual;20191201;0
38;FPA1/022;INC;#;#;#;#;US10_PCR1S;Actual;20191201;0
39;FPA1/022;INC;#;#;#;#;US10_PCR2L;Actual;20191201;0
40;FPA1/022;INC;#;#;#;#;US10_PCR2S;Actual;20191201;0
41;FPA1/022;INC;#;#;#;#;US10_PCR3L;Actual;20191201;0
42;FPA1/022;INC;#;#;#;#;US10_PCR3S;Actual;20191201;0
43;FPA1/022;INC;#;#;#;#;US10_PCY1L;Actual;20191201;52990,81
44;FPA1/022;INC;#;#;#;#;US10_PCY1S;Actual;20191201;13032,87
45;FPA1/022;INC;#;#;#;#;US10_PCY2L;Actual;20191201;21114,48
46;FPA1/022;INC;#;#;#;#;US10_PCY2S;Actual;20191201;14321,84
47;FPA1/022;INC;#;#;#;#;US10_PCY3L;Actual;20191201;32190,04
48;FPA1/022;INC;#;#;#;#;US10_PCY3S;Actual;20191201;4910,35
49;FPA1/022;INC;17100001;Z3;MZ-FG-E108;FG;Z_LOG_PC7;Actual;20181001;5500,07
50;FPA1/022;INC;17100001;Z3;MZ-FG-E108;FG;Z_LOG_PC7;Actual;20191001;6819,92
51;FPA1/022;INC;17100001;Z3;MZ-FG-E108;FG;Z_LOG_PC7;Actual;20200501;25000
52;FPA1/022;INC;17100001;Z3;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20181001;13860,17
53;FPA1/022;INC;17100001;Z3;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20191001;17186,21
54;FPA1/022;INC;17100001;Z3;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20181001;40040,48
55;FPA1/022;INC;17100001;Z3;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20191001;49649,05
56;FPA1/022;INC;17100001;Z3;MZ-TG-A27;TM;Z_LOG_PC11;Actual;20181001;605,01
57;FPA1/022;INC;17100001;Z3;MZ-TG-A27;TM;Z_LOG_PC11;Actual;20191001;750,19
58;FPA1/022;INC;17100002;Z3;MZ-FG-E108;FG;Z_LOG_PC7;Actual;20200501;0
59;FPA1/022;INC;CACU_S01;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190201;8266,6
60;FPA1/022;INC;CACU_S01;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20200201;10250,35
61;FPA1/022;INC;CACU_S01;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190201;7823,29
62;FPA1/022;INC;CACU_S01;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20200201;9700,66
63;FPA1/022;INC;CACU_S01;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20190201;12220,05
64;FPA1/022;INC;CACU_S01;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20200201;15152,51
65;FPA1/022;INC;CACU_S01;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190201;30623,27
66;FPA1/022;INC;CACU_S01;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20200201;37971,97
67;FPA1/022;INC;CACU_S01;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190201;59606,41
68;FPA1/022;INC;CACU_S01;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20200201;73910,24
69;FPA1/022;INC;CACU_S02;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190201;4661,31
70;FPA1/022;INC;CACU_S02;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20200201;5779,89
71;FPA1/022;INC;CACU_S02;Z1;MZ-TG-Y240;YH;US10_PCY3S;Actual;20190201;1672,02
72;FPA1/022;INC;CACU_S02;Z1;MZ-TG-Y240;YH;US10_PCY3S;Actual;20200201;2073,26
73;FPA1/022;INC;CACU_S03;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190201;3872,05
74;FPA1/022;INC;CACU_S03;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20200201;4801,23
75;FPA1/022;INC;CACU_S03;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190201;5940,07
76;FPA1/022;INC;CACU_S03;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20200201;7365,52
77;FPA1/022;INC;CACU_S03;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190201;29968,76
78;FPA1/022;INC;CACU_S03;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20200201;37160,4
79;FPA1/022;INC;CACU_S03;Z1;MZ-TG-Y120;YH;US10_PCY1S;Actual;20190201;654,51
80;FPA1/022;INC;CACU_S03;Z1;MZ-TG-Y120;YH;US10_PCY1S;Actual;20200201;811,57
81;FPA1/022;INC;CACU_S03;Z1;MZ-TG-Y200;YH;US10_PCY2S;Actual;20190201;1056,01
82;FPA1/022;INC;CACU_S03;Z1;MZ-TG-Y200;YH;US10_PCY2S;Actual;20200201;1309,43
83;FPA1/022;INC;CACU_S04;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20190201;13965,77
84;FPA1/022;INC;CACU_S04;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20200201;17317,15
85;FPA1/022;INC;CACU_S04;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190201;4661,31
86;FPA1/022;INC;CACU_S04;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20200201;5779,89
87;FPA1/022;INC;CACU_S04;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190201;30623,27
88;FPA1/022;INC;CACU_S04;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20200201;37971,97
89;FPA1/022;INC;CACU_S04;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190201;55348,81
90;FPA1/022;INC;CACU_S04;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20200201;68630,94
91;FPA1/022;INC;CACU_S04;Z1;MZ-TG-Y120;YH;US10_PCY1S;Actual;20190201;385
92;FPA1/022;INC;CACU_S04;Z1;MZ-TG-Y120;YH;US10_PCY1S;Actual;20200201;477,39
93;FPA1/022;INC;CACU_S04;Z1;MZ-TG-Y200;YH;US10_PCY2S;Actual;20190201;1122,01
94;FPA1/022;INC;CACU_S04;Z1;MZ-TG-Y200;YH;US10_PCY2S;Actual;20200201;1391,26
95;FPA1/022;INC;CACU_S05;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190201;5197,56
96;FPA1/022;INC;CACU_S05;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20200201;6444,83
97;FPA1/022;INC;CACU_S05;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190201;9368,81
98;FPA1/022;INC;CACU_S05;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20200201;11617,06
99;FPA1/022;INC;CACU_S05;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190201;7823,29
100;FPA1/022;INC;CACU_S05;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20200201;9700,66
101;FPA1/022;INC;CACU_S05;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190201;32109,38
102;FPA1/022;INC;CACU_S05;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20200201;39814,72
103;FPA1/022;INC;CACU_S05;Z1;MZ-TG-Y240;YH;US10_PCY3S;Actual;20190201;1232,01
104;FPA1/022;INC;CACU_S05;Z1;MZ-TG-Y240;YH;US10_PCY3S;Actual;20200201;1527,66
105;FPA1/022;INC;LACU_S01;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190201;4114,05
106;FPA1/022;INC;LACU_S01;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20200201;5101,3
107;FPA1/022;INC;LACU_S01;Z1;MZ-TG-Y120;YH;US10_PCY1S;Actual;20190201;693,01
108;FPA1/022;INC;LACU_S01;Z1;MZ-TG-Y120;YH;US10_PCY1S;Actual;20200201;859,31
109;FPA1/022;INC;LACU_S01;Z1;MZ-TG-Y240;YH;US10_PCY3S;Actual;20190201;1232,01
110;FPA1/022;INC;LACU_S01;Z1;MZ-TG-Y240;YH;US10_PCY3S;Actual;20200201;1527,66
111;FPA1/022;INC;LACU_S02;Z1;MZ-TG-Y200;YH;US10_PCY2S;Actual;20190201;726,01
112;FPA1/022;INC;LACU_S02;Z1;MZ-TG-Y200;YH;US10_PCY2S;Actual;20200201;900,23
113;FPA1/022;INC;LACU_S03;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20190201;4114,05
114;FPA1/022;INC;LACU_S03;Z1;MZ-FG-C900;CR;US10_PCC3S;Actual;20200201;5101,3
115;FPA1/022;INC;LACU_S03;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20190201;5940,07
116;FPA1/022;INC;LACU_S03;Z1;MZ-FG-C950;CR;US10_PCC2S;Actual;20200201;7365,52
117;FPA1/022;INC;LACU_S03;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20190201;12220,05
118;FPA1/022;INC;LACU_S03;Z1;MZ-FG-M525;MT;US10_PCM2S;Actual;20200201;15152,51
119;FPA1/022;INC;LACU_S04;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20190201;6845,38
120;FPA1/022;INC;LACU_S04;Z1;MZ-FG-M500;MT;US10_PCM3S;Actual;20200201;8488,08
121;FPA1/022;INC;LACU_S04;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20190201;25687,51
122;FPA1/022;INC;LACU_S04;Z1;MZ-FG-M550;MT;US10_PCM1S;Actual;20200201;31851,77
123;FPA1/022;INC;LACU_S04;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20190201;3729,04
124;FPA1/022;INC;LACU_S04;Z1;MZ-FG-R100;RC;US10_PCR3S;Actual;20200201;4623,91
125;FPA1/022;INC;LACU_S04;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20190201;24061,14
126;FPA1/022;INC;LACU_S04;Z1;MZ-FG-R200;RC;US10_PCR2S;Actual;20200201;29835,12
127;FPA1/022;INC;LACU_S04;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20190201;46833,61
128;FPA1/022;INC;LACU_S04;Z1;MZ-FG-R300;RC;US10_PCR1S;Actual;20200201;58072,33
129;FPA1/022;INC;LACU_S05;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20190201;9368,81
130;FPA1/022;INC;LACU_S05;Z1;MZ-FG-C990;CR;US10_PCC1S;Actual;20200201;11617,06
131;FPA1/022;INC;LACU_S05;Z1;MZ-TG-Y120;YH;US10_PCY1S;Actual;20190201;500,51
132;FPA1/022;INC;LACU_S05;Z1;MZ-TG-Y120;YH;US10_PCY1S;Actual;20200201;620,61
133;FPA1/022;INC;LACU_S05;Z1;MZ-TG-Y200;YH;US10_PCY2S;Actual;20190201;990,01
134;FPA1/022;INC;LACU_S05;Z1;MZ-TG-Y200;YH;US10_PCY2S;Actual;20200201;1227,59
135;FPA1/022;INC;LACU_S05;Z1;MZ-TG-Y240;YH;US10_PCY3S;Actual;20190201;1232,01
136;FPA1/022;INC;LACU_S05;Z1;MZ-TG-Y240;YH;US10_PCY3S;Actual;20200201;1527,66
137;FPA1/022;INC;USCU-CUS07;Z1;MZ-FG-E15;FG;Z_LOG_PC7;Actual;20181001;5,5
138;FPA1/022;INC;USCU-CUS07;Z1;MZ-FG-E15;FG;Z_LOG_PC7;Actual;20190301;330
139;FPA1/022;INC;USCU-CUS07;Z1;MZ-FG-E15;FG;Z_LOG_PC7;Actual;20191001;6,82
140;FPA1/022;INC;USCU-CUS07;Z1;MZ-FG-E15;FG;Z_LOG_PC7;Actual;20200301;409,2
141;FPA1/022;INC;USCU-CUS08;Z1;MZ-FG-E16;FG;Z_LOG_PC7;Actual;20180401;770,01
142;FPA1/022;INC;USCU-CUS08;Z1;MZ-FG-E16;FG;Z_LOG_PC7;Actual;20180901;385
143;FPA1/022;INC;USCU-CUS08;Z1;MZ-FG-E16;FG;Z_LOG_PC7;Actual;20181001;770,01
144;FPA1/022;INC;USCU-CUS08;Z1;MZ-FG-E16;FG;Z_LOG_PC7;Actual;20190401;954,79
145;FPA1/022;INC;USCU-CUS08;Z1;MZ-FG-E16;FG;Z_LOG_PC7;Actual;20190901;477,39
146;FPA1/022;INC;USCU-CUS08;Z1;MZ-FG-E16;FG;Z_LOG_PC7;Actual;20191001;954,79
147;FPA1/022;INC;USCU-CUS09;Z1;MZ-FG-E17;FG;Z_LOG_PC7;Actual;20181001;412,5
148;FPA1/022;INC;USCU-CUS09;Z1;MZ-FG-E17;FG;Z_LOG_PC7;Actual;20191001;511,49
149;FPA1/022;INC;USCU-CUS23;Z1;MZ-FG-C21;FG;Z_LOG_PC7;Actual;20181001;30247337,16
150;FPA1/022;INC;USCU-CUS23;Z1;MZ-FG-C21;FG;Z_LOG_PC7;Actual;20191001;37505830,4
151;FPA1/022;INC;USCU-CUS23;Z1;MZ-FG-E15;FG;Z_LOG_PC7;Actual;20181001;13227988,38
152;FPA1/022;INC;USCU-CUS23;Z1;MZ-FG-E15;FG;Z_LOG_PC7;Actual;20190301;16500197,56
153;FPA1/022;INC;USCU-CUS23;Z1;MZ-FG-E15;FG;Z_LOG_PC7;Actual;20191001;16402326,13
154;FPA1/022;INC;USCU-CUS23;Z1;MZ-FG-E15;FG;Z_LOG_PC7;Actual;20200301;20459771,65
155;FPA1/022;INC;USCU-CUS25;Z1;MZ-TG-A20;FG;Z_LOG_PC11;Actual;20180401;99
156;FPA1/022;INC;USCU-CUS25;Z1;MZ-TG-A20;FG;Z_LOG_PC11;Actual;20190201;0
157;FPA1/022;INC;USCU-CUS25;Z1;MZ-TG-A20;FG;Z_LOG_PC11;Actual;20190401;122,76
158;FPA1/022;INC;USCU-CUS36;Z1;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20180701;192,5
159;FPA1/022;INC;USCU-CUS36;Z1;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20181001;231002,77
160;FPA1/022;INC;USCU-CUS36;Z1;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20190701;238,7
161;FPA1/022;INC;USCU-CUS36;Z1;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20191001;286436,8
162;FPA1/022;INC;USCU-CUS36;Z1;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20180701;165441,98
163;FPA1/022;INC;USCU-CUS36;Z1;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20181001;55000,66
164;FPA1/022;INC;USCU-CUS36;Z1;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20190701;205143,31
165;FPA1/022;INC;USCU-CUS36;Z1;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20191001;68199,24
166;FPA1/022;INC;USCU-CUS54;Z3;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20181001;38,5
167;FPA1/022;INC;USCU-CUS54;Z3;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20191001;47,74
168;FPA1/022;INC;USCU-CUS54;Z3;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20181001;6600,08
169;FPA1/022;INC;USCU-CUS54;Z3;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20191001;8183,91
170;FPA1/022;INC;USCU-CUS55;Z3;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20181001;5775,07
171;FPA1/022;INC;USCU-CUS55;Z3;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20191001;7160,92
172;FPA1/022;INC;USCU-CUS55;Z3;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20181001;0
173;FPA1/022;INC;USCU-CUS55;Z3;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20191001;0
174;FPA1/022;INC;USCU-CUS63;Z3;MZ-TG-A25;TM;Z_LOG_PC11;Actual;20200401;0
175;FPA1/022;INC;USCU-CUS63;Z3;MZ-TG-A26;TM;Z_LOG_PC11;Actual;20200401;400
176;FPA1/022;INC;USCU-L-001;Z3;MZ-FG-C10;FG;Z_LOG_PC7;Actual;20181001;22
177;FPA1/022;INC;USCU-L-001;Z3;MZ-FG-C10;FG;Z_LOG_PC7;Actual;20191001;27,28
178;FPA1/022;INC;USCU-P-008;Z1;MZ-FG-P010;RB;Z_LOG_PC7;Actual;20181001;385
