alarm_id,elevator_id,timestamp,alarm_code,alarm_type,severity,resolved_flag,resolution_time_minutes
ALM0000001,ELV00413,2026-01-27 07:31:50,E808,Speed Deviation,Medium,Y,22
ALM0000002,ELV00072,2026-06-25 22:59:38,E909,Leveling Error,Medium,Y,15
ALM0000003,ELV00203,2025-09-19 11:11:49,E909,Leveling Error,Medium,Y,53
ALM0000004,ELV00288,2025-04-30 02:03:51,E202,Overload,Medium,Y,20
ALM0000005,ELV00158,2026-04-19 03:07:33,E606,Brake Fault,Medium,Y,31
ALM0000006,ELV00015,2025-12-01 03:41:28,E505,Power Fault,Medium,Y,14
ALM0000007,ELV00078,2025-03-31 04:52:57,E404,Excess Vibration,Critical,Y,71
ALM0000008,ELV00189,2026-06-10 15:13:19,E606,Brake Fault,Low,Y,15
ALM0000009,ELV00486,2025-03-31 22:28:08,E606,Brake Fault,Medium,Y,126
ALM0000010,ELV00291,2026-05-30 05:40:00,E303,Motor Overheat,High,Y,82
ALM0000011,ELV00226,2025-11-03 06:20:43,E202,Overload,High,Y,81
ALM0000012,ELV00288,2026-03-21 04:28:02,E101,Door Fault,Medium,Y,8
ALM0000013,ELV00204,2025-08-22 16:06:57,E707,Communication Loss,Medium,N,
ALM0000014,ELV00385,2025-01-18 23:54:33,E909,Leveling Error,Medium,Y,7
ALM0000015,ELV00129,2025-07-02 06:05:53,E606,Brake Fault,Critical,Y,30
ALM0000016,ELV00472,2025-12-09 07:01:04,E303,Motor Overheat,Low,Y,15
ALM0000017,ELV00409,2025-08-06 06:54:06,E808,Speed Deviation,Medium,N,
ALM0000018,ELV00046,2025-10-25 19:10:49,E505,Power Fault,Medium,Y,16
ALM0000019,ELV00257,2025-03-26 14:40:51,E101,Door Fault,Low,Y,25
ALM0000020,ELV00212,2025-09-06 00:56:31,E505,Power Fault,Medium,Y,17
ALM0000021,ELV00073,2026-02-01 16:04:22,E606,Brake Fault,Low,Y,12
ALM0000022,ELV00233,2025-10-30 07:15:34,E808,Speed Deviation,Low,Y,45
ALM0000023,ELV00128,2025-07-07 09:33:03,E101,Door Fault,High,Y,44
ALM0000024,ELV00083,2026-05-29 09:58:55,E707,Communication Loss,Low,Y,8
ALM0000025,ELV00073,2026-02-12 19:51:36,E808,Speed Deviation,Critical,Y,68
ALM0000026,ELV00332,2025-09-15 17:43:33,E505,Power Fault,Medium,Y,20
ALM0000027,ELV00379,2025-01-11 14:13:19,E202,Overload,Low,Y,15
ALM0000028,ELV00176,2026-04-10 21:34:03,E404,Excess Vibration,Low,Y,22
ALM0000029,ELV00177,2025-05-12 01:08:58,E101,Door Fault,Low,Y,34
ALM0000030,ELV00153,2026-05-04 14:06:12,E707,Communication Loss,Low,Y,20
ALM0000031,ELV00322,2026-02-28 14:00:54,E202,Overload,Medium,Y,18
ALM0000032,ELV00142,2025-01-12 05:28:53,E707,Communication Loss,Medium,Y,11
ALM0000033,ELV00330,2025-09-23 04:19:43,E303,Motor Overheat,High,N,
ALM0000034,ELV00195,2026-04-21 10:59:11,E303,Motor Overheat,Low,Y,7
ALM0000035,ELV00098,2025-09-13 12:45:20,E404,Excess Vibration,Low,Y,9
ALM0000036,ELV00131,2025-10-05 23:16:59,E202,Overload,Medium,Y,15
ALM0000037,ELV00334,2025-07-30 11:17:09,E404,Excess Vibration,Medium,Y,30
ALM0000038,ELV00261,2026-05-24 03:03:40,E707,Communication Loss,Critical,Y,52
ALM0000039,ELV00138,2025-05-20 18:28:48,E202,Overload,Critical,Y,26
ALM0000040,ELV00197,2025-04-08 13:45:10,E202,Overload,High,Y,69
ALM0000041,ELV00459,2026-06-18 00:51:12,E202,Overload,Low,Y,10
ALM0000042,ELV00312,2026-02-07 18:05:27,E101,Door Fault,Low,Y,19
ALM0000043,ELV00278,2025-08-05 14:37:38,E606,Brake Fault,Medium,Y,16
ALM0000044,ELV00237,2025-12-26 08:26:16,E303,Motor Overheat,Low,Y,17
ALM0000045,ELV00446,2025-09-02 18:13:47,E606,Brake Fault,Medium,Y,47
ALM0000046,ELV00231,2025-09-29 13:06:59,E101,Door Fault,Critical,Y,72
ALM0000047,ELV00371,2026-01-02 22:12:41,E101,Door Fault,Low,N,
ALM0000048,ELV00451,2025-03-09 23:55:48,E303,Motor Overheat,Low,Y,5
ALM0000049,ELV00380,2025-07-03 04:00:33,E101,Door Fault,Low,Y,16
ALM0000050,ELV00223,2025-06-20 17:36:47,E303,Motor Overheat,Low,Y,30
ALM0000051,ELV00036,2025-10-10 03:21:49,E202,Overload,Low,Y,32
ALM0000052,ELV00067,2025-07-16 05:56:51,E404,Excess Vibration,High,Y,87
ALM0000053,ELV00021,2026-06-12 23:14:46,E505,Power Fault,Medium,N,
ALM0000054,ELV00454,2025-09-10 05:13:36,E202,Overload,High,Y,75
ALM0000055,ELV00191,2026-04-08 06:52:04,E404,Excess Vibration,Critical,Y,84
ALM0000056,ELV00387,2025-08-14 11:07:20,E303,Motor Overheat,Low,Y,22
ALM0000057,ELV00262,2026-06-03 23:28:40,E505,Power Fault,Low,Y,6
ALM0000058,ELV00281,2025-08-09 19:15:29,E202,Overload,Low,Y,33
ALM0000059,ELV00185,2025-02-22 21:30:37,E707,Communication Loss,Low,Y,12
ALM0000060,ELV00004,2025-10-25 21:14:43,E909,Leveling Error,Low,Y,12
ALM0000061,ELV00083,2026-06-30 00:17:24,E707,Communication Loss,High,Y,107
ALM0000062,ELV00418,2026-02-02 22:48:40,E909,Leveling Error,High,Y,16
ALM0000063,ELV00447,2026-04-30 12:36:28,E505,Power Fault,Low,Y,44
ALM0000064,ELV00394,2025-07-25 05:44:24,E101,Door Fault,Low,N,
ALM0000065,ELV00196,2025-09-07 09:38:32,E101,Door Fault,Low,Y,14
ALM0000066,ELV00448,2026-05-13 06:14:32,E101,Door Fault,Medium,Y,28
ALM0000067,ELV00232,2025-01-29 15:25:32,E606,Brake Fault,Medium,Y,53
ALM0000068,ELV00451,2025-04-20 00:40:22,E707,Communication Loss,Medium,Y,31
ALM0000069,ELV00072,2025-05-17 17:57:10,E909,Leveling Error,Medium,Y,18
ALM0000070,ELV00347,2025-05-08 16:25:14,E404,Excess Vibration,Critical,Y,181
ALM0000071,ELV00006,2025-08-09 16:07:26,E606,Brake Fault,High,Y,84
ALM0000072,ELV00199,2025-12-06 13:56:44,E606,Brake Fault,High,N,
