downtime_id,machine_id,production_order_id,start_time,end_time,downtime_minutes,reason,downtime_category
DT000001,MC032,,2025-04-28 16:40:00,2025-04-28 17:34:00,54,Scheduled Maintenance,Planned
DT000002,MC015,PRD0003678,2025-12-16 08:40:00,2025-12-16 10:14:00,94,Mechanical Failure,Unplanned
DT000003,MC001,,2026-05-25 10:40:00,2026-05-25 10:58:00,18,Operator Break,Planned
DT000004,MC001,PRD0019784,2025-08-08 15:40:00,2025-08-08 18:58:00,198,Software/PLC Fault,Unplanned
DT000005,MC036,,2026-02-14 20:50:00,2026-02-14 21:39:00,49,Tooling Change,Planned
DT000006,MC036,PRD0000238,2025-10-10 17:30:00,2025-10-10 18:34:00,64,Tooling Change,Planned
DT000007,MC001,PRD0009656,2026-03-14 19:10:00,2026-03-14 20:39:00,89,Electrical Fault,Unplanned
DT000008,MC014,,2026-06-02 09:50:00,2026-06-02 11:27:00,97,Power Outage,Unplanned
DT000009,MC037,,2026-02-04 10:30:00,2026-02-04 11:15:00,45,Calibration,Planned
DT000010,MC041,PRD0013304,2025-04-15 07:20:00,2025-04-15 07:49:00,29,Material Shortage,Unplanned
DT000011,MC011,PRD0008883,2026-03-05 03:20:00,2026-03-05 05:00:00,100,Electrical Fault,Unplanned
DT000012,MC012,PRD0002417,2026-02-18 09:50:00,2026-02-18 10:31:00,41,Software/PLC Fault,Unplanned
DT000013,MC026,PRD0018449,2026-04-08 21:30:00,2026-04-08 22:18:00,48,Calibration,Planned
DT000014,MC004,PRD0001222,2026-06-14 00:00:00,2026-06-14 00:40:00,40,Calibration,Planned
DT000015,MC020,PRD0017235,2026-01-23 10:00:00,2026-01-23 11:30:00,90,Mechanical Failure,Unplanned
DT000016,MC001,PRD0009691,2025-04-10 12:10:00,2025-04-10 13:11:00,61,Calibration,Planned
DT000017,MC034,PRD0007602,2026-04-20 19:20:00,2026-04-20 19:46:00,26,Power Outage,Unplanned
DT000018,MC032,,2026-05-25 07:30:00,2026-05-25 09:00:00,90,Power Outage,Unplanned
DT000019,MC034,PRD0015138,2026-03-01 18:50:00,2026-03-01 19:31:00,41,Calibration,Planned
DT000020,MC012,,2025-11-27 02:00:00,2025-11-27 02:13:00,13,Power Outage,Unplanned
DT000021,MC002,PRD0014878,2025-11-13 08:40:00,2025-11-13 09:09:00,29,Software/PLC Fault,Unplanned
DT000022,MC037,,2025-08-01 18:40:00,2025-08-01 19:28:00,48,Calibration,Planned
DT000023,MC032,PRD0018159,2026-06-28 11:20:00,2026-06-28 11:59:00,39,Tooling Change,Planned
DT000024,MC045,,2025-09-19 15:30:00,2025-09-19 16:06:00,36,Operator Break,Planned
DT000025,MC031,PRD0016663,2026-06-20 07:40:00,2026-06-20 08:00:00,20,Material Shortage,Unplanned
DT000026,MC023,,2025-01-27 12:40:00,2025-01-27 13:14:00,34,Tooling Change,Planned
DT000027,MC028,,2025-01-21 22:00:00,2025-01-21 22:31:00,31,Electrical Fault,Unplanned
DT000028,MC046,PRD0013742,2025-04-03 08:30:00,2025-04-03 09:27:00,57,Electrical Fault,Unplanned
DT000029,MC046,PRD0015884,2025-09-21 22:40:00,2025-09-21 23:24:00,44,Material Shortage,Unplanned
