maintenance_part_id,maintenance_id,material_id,quantity_used,unit_cost,total_cost
MPT00000001,MNT0015697,MAT00247,2,781.31,1562.62
MPT00000002,MNT0015697,MAT00237,2,957.12,1914.24
MPT00000003,MNT0020289,MAT00236,4,215.04,860.16
MPT00000004,MNT0020289,MAT00248,2,482.03,964.06
MPT00000005,MNT0021031,MAT00240,1,585.13,585.13
MPT00000006,MNT0016526,MAT00245,1,103.66,103.66
MPT00000007,MNT0011192,MAT00226,1,53.56,53.56
MPT00000008,MNT0011192,MAT00228,1,67.71,67.71
MPT00000009,MNT0011192,MAT00236,1,200.27,200.27
MPT00000010,MNT0026681,MAT00240,1,640.79,640.79
MPT00000011,MNT0026681,MAT00226,1,57.63,57.63
MPT00000012,MNT0012374,MAT00231,1,412.6,412.6
MPT00000013,MNT0012374,MAT00235,1,296.62,296.62
MPT00000014,MNT0024584,MAT00242,1,187.58,187.58
MPT00000015,MNT0024584,MAT00248,1,497.49,497.49
MPT00000016,MNT0003595,MAT00224,2,1748.54,3497.08
MPT00000017,MNT0003595,MAT00209,3,288.59,865.77
MPT00000018,MNT0006946,MAT00095,1,33.49,33.49
MPT00000019,MNT0011177,MAT00245,1,103.26,103.26
MPT00000020,MNT0011177,MAT00231,1,425.28,425.28
MPT00000021,MNT0027766,MAT00245,1,96.9,96.9
MPT00000022,MNT0027766,MAT00236,2,195.31,390.62
MPT00000023,MNT0027766,MAT00246,1,316.78,316.78
MPT00000024,MNT0021781,MAT00241,1,170.84,170.84
MPT00000025,MNT0021781,MAT00249,2,315.07,630.14
MPT00000026,MNT0000908,MAT00055,1,9.84,9.84
MPT00000027,MNT0002169,MAT00016,1,538.13,538.13
MPT00000028,MNT0026994,MAT00227,1,233.84,233.84
MPT00000029,MNT0026994,MAT00228,1,68.77,68.77
MPT00000030,MNT0026994,MAT00232,1,68.52,68.52
MPT00000031,MNT0026994,MAT00228,2,67.94,135.88
MPT00000032,MNT0022447,MAT00242,1,165.78,165.78
MPT00000033,MNT0001373,MAT00060,1,144.99,144.99
MPT00000034,MNT0001373,MAT00051,1,77.26,77.26
MPT00000035,MNT0001373,MAT00065,2,160.16,320.32
MPT00000036,MNT0010818,MAT00247,3,773.58,2320.74
MPT00000037,MNT0010818,MAT00239,2,808.88,1617.76
MPT00000038,MNT0015530,MAT00250,3,3192.97,9578.91
MPT00000039,MNT0005314,MAT00056,2,79.6,159.2
MPT00000040,MNT0005314,MAT00072,1,660.61,660.61
MPT00000041,MNT0011828,MAT00233,1,275.16,275.16
MPT00000042,MNT0011828,MAT00237,1,882.27,882.27
MPT00000043,MNT0011828,MAT00235,1,282.42,282.42
MPT00000044,MNT0009035,MAT00091,1,241.98,241.98
MPT00000045,MNT0023029,MAT00234,1,270.83,270.83
MPT00000046,MNT0002740,MAT00012,1,418.29,418.29
MPT00000047,MNT0002740,MAT00016,2,617.14,1234.28
MPT00000048,MNT0017031,MAT00249,1,292.06,292.06
MPT00000049,MNT0017031,MAT00228,1,64.51,64.51
MPT00000050,MNT0017031,MAT00227,1,220.81,220.81
MPT00000051,MNT0017031,MAT00237,2,1018.11,2036.22
MPT00000052,MNT0024723,MAT00237,1,818.41,818.41
MPT00000053,MNT0024723,MAT00245,1,97.81,97.81
MPT00000054,MNT0007018,MAT00078,1,105.41,105.41
MPT00000055,MNT0004689,MAT00116,1,491.48,491.48
MPT00000056,MNT0004689,MAT00102,1,286.39,286.39
MPT00000057,MNT0014311,MAT00227,1,217.72,217.72
MPT00000058,MNT0014311,MAT00249,2,301.12,602.24
MPT00000059,MNT0014311,MAT00242,1,174.68,174.68
MPT00000060,MNT0004031,MAT00064,1,146.73,146.73
MPT00000061,MNT0004031,MAT00061,1,310.15,310.15
MPT00000062,MNT0007232,MAT00073,1,503.31,503.31
MPT00000063,MNT0007232,MAT00060,1,159.11,159.11
MPT00000064,MNT0016350,MAT00227,1,260.24,260.24
MPT00000065,MNT0016350,MAT00237,2,967.21,1934.42
MPT00000066,MNT0001138,MAT00010,1,134.35,134.35
MPT00000067,MNT0001138,MAT00009,1,423.31,423.31
MPT00000068,MNT0001138,MAT00013,1,119.27,119.27
MPT00000069,MNT0017893,MAT00230,2,455.23,910.46
MPT00000070,MNT0017893,MAT00249,2,277.81,555.62
MPT00000071,MNT0017892,MAT00241,4,169.27,677.08
MPT00000072,MNT0016936,MAT00235,2,273.24,546.48
MPT00000073,MNT0011856,MAT00235,1,317.68,317.68
MPT00000074,MNT0027486,MAT00242,1,193.99,193.99
MPT00000075,MNT0027486,MAT00235,1,290.14,290.14
MPT00000076,MNT0027486,MAT00238,1,168.79,168.79
MPT00000077,MNT0007118,MAT00019,1,325.13,325.13
MPT00000078,MNT0007118,MAT00025,1,233.23,233.23
MPT00000079,MNT0028321,MAT00240,2,688.45,1376.9
MPT00000080,MNT0028321,MAT00245,1,94.44,94.44
MPT00000081,MNT0028439,MAT00248,1,516.45,516.45
MPT00000082,MNT0015497,MAT00233,1,262.11,262.11
MPT00000083,MNT0025118,MAT00233,1,273.78,273.78
MPT00000084,MNT0025118,MAT00246,1,357.03,357.03
MPT00000085,MNT0001974,MAT00125,1,58.04,58.04
MPT00000086,MNT0019817,MAT00242,1,187.42,187.42
MPT00000087,MNT0019065,MAT00247,1,780.55,780.55
MPT00000088,MNT0019065,MAT00230,1,400.94,400.94
MPT00000089,MNT0012942,MAT00247,1,708.95,708.95
MPT00000090,MNT0012942,MAT00245,1,105.6,105.6
MPT00000091,MNT0014705,MAT00234,1,296.19,296.19
MPT00000092,MNT0014428,MAT00227,2,254.12,508.24
MPT00000093,MNT0014428,MAT00247,1,681.57,681.57
MPT00000094,MNT0014428,MAT00229,1,480.3,480.3
MPT00000095,MNT0014428,MAT00232,2,81.41,162.82
MPT00000096,MNT0018757,MAT00230,1,403.93,403.93
MPT00000097,MNT0018757,MAT00236,1,206.21,206.21
MPT00000098,MNT0011191,MAT00236,1,194.57,194.57
MPT00000099,MNT0017174,MAT00240,1,643.06,643.06
MPT00000100,MNT0017174,MAT00245,1,104.63,104.63
MPT00000101,MNT0017174,MAT00226,2,50.97,101.94
MPT00000102,MNT0008286,MAT00137,2,290.83,581.66
MPT00000103,MNT0008286,MAT00150,1,205.13,205.13
MPT00000104,MNT0003158,MAT00101,1,59.06,59.06
MPT00000105,MNT0003158,MAT00113,2,1287.91,2575.82
MPT00000106,MNT0022207,MAT00250,1,2846.05,2846.05
MPT00000107,MNT0008773,MAT00026,2,612.3,1224.6
MPT00000108,MNT0008773,MAT00031,1,186.67,186.67
MPT00000109,MNT0008773,MAT00047,1,129.09,129.09
MPT00000110,MNT0029433,MAT00234,1,301.17,301.17
MPT00000111,MNT0010318,MAT00217,1,157.85,157.85
MPT00000112,MNT0010318,MAT00222,1,228.86,228.86
MPT00000113,MNT0029280,MAT00249,1,298.32,298.32
MPT00000114,MNT0029280,MAT00245,1,97.61,97.61
MPT00000115,MNT0029280,MAT00241,1,140.55,140.55
MPT00000116,MNT0029280,MAT00232,1,72.6,72.6
MPT00000117,MNT0013406,MAT00231,1,384.47,384.47
MPT00000118,MNT0013937,MAT00239,1,721.35,721.35
MPT00000119,MNT0013937,MAT00233,1,270.11,270.11
MPT00000120,MNT0009089,MAT00138,1,272.17,272.17
MPT00000121,MNT0009089,MAT00132,2,110.65,221.3
MPT00000122,MNT0012737,MAT00244,1,179.16,179.16
MPT00000123,MNT0011819,MAT00249,1,276.68,276.68
MPT00000124,MNT0027872,MAT00232,1,77.05,77.05
MPT00000125,MNT0027872,MAT00240,1,583.28,583.28
MPT00000126,MNT0023184,MAT00239,1,786.2,786.2
MPT00000127,MNT0021077,MAT00237,1,996.58,996.58
MPT00000128,MNT0006212,MAT00221,1,132.53,132.53
MPT00000129,MNT0006212,MAT00208,1,52.87,52.87
MPT00000130,MNT0006212,MAT00202,3,59.92,179.76
MPT00000131,MNT0023607,MAT00226,1,51.04,51.04
MPT00000132,MNT0016222,MAT00240,1,610.25,610.25
MPT00000133,MNT0016222,MAT00233,1,269.28,269.28
MPT00000134,MNT0017368,MAT00246,1,326.71,326.71
MPT00000135,MNT0001045,MAT00015,2,53.49,106.98
MPT00000136,MNT0011777,MAT00240,1,602.26,602.26
MPT00000137,MNT0011777,MAT00235,1,264.7,264.7
MPT00000138,MNT0011777,MAT00236,2,215.06,430.12
MPT00000139,MNT0008215,MAT00079,1,642.3,642.3
MPT00000140,MNT0008215,MAT00083,1,63.43,63.43
MPT00000141,MNT0025102,MAT00234,1,295.92,295.92
MPT00000142,MNT0025102,MAT00244,1,202.91,202.91
MPT00000143,MNT0000772,MAT00127,2,6341.9,12683.8
MPT00000144,MNT0002381,MAT00216,2,123.0,246.0
MPT00000145,MNT0002381,MAT00215,1,132.12,132.12
MPT00000146,MNT0001297,MAT00219,1,107.5,107.5
MPT00000147,MNT0000291,MAT00007,2,883.37,1766.74
MPT00000148,MNT0003244,MAT00100,1,927.02,927.02
MPT00000149,MNT0003244,MAT00086,1,87.35,87.35
MPT00000150,MNT0020331,MAT00246,1,364.09,364.09
MPT00000151,MNT0020331,MAT00236,2,194.15,388.3
MPT00000152,MNT0020331,MAT00241,1,159.15,159.15
MPT00000153,MNT0011793,MAT00236,1,198.41,198.41
MPT00000154,MNT0004790,MAT00060,1,151.65,151.65
MPT00000155,MNT0004790,MAT00055,1,11.2,11.2
MPT00000156,MNT0004784,MAT00030,1,254.3,254.3
MPT00000157,MNT0004784,MAT00050,1,139.14,139.14
MPT00000158,MNT0023257,MAT00232,1,70.76,70.76
MPT00000159,MNT0007500,MAT00065,1,134.15,134.15
MPT00000160,MNT0009139,MAT00109,1,517.52,517.52
MPT00000161,MNT0009139,MAT00103,1,80.73,80.73
MPT00000162,MNT0009139,MAT00105,1,51.43,51.43
MPT00000163,MNT0024397,MAT00234,2,267.69,535.38
MPT00000164,MNT0024397,MAT00246,1,348.69,348.69
MPT00000165,MNT0013191,MAT00230,1,458.69,458.69
MPT00000166,MNT0013191,MAT00241,1,148.53,148.53
MPT00000167,MNT0025406,MAT00246,2,310.47,620.94
MPT00000168,MNT0027990,MAT00232,9,71.38,642.42
MPT00000169,MNT0027990,MAT00240,2,651.38,1302.76
MPT00000170,MNT0008686,MAT00201,3,144.45,433.35
MPT00000171,MNT0008686,MAT00208,1,42.25,42.25
MPT00000172,MNT0002844,MAT00017,1,405.02,405.02
MPT00000173,MNT0002844,MAT00018,1,375.0,375.0
MPT00000174,MNT0019408,MAT00245,1,105.51,105.51
MPT00000175,MNT0019408,MAT00243,1,1279.98,1279.98
MPT00000176,MNT0014654,MAT00241,1,155.26,155.26
MPT00000177,MNT0014654,MAT00234,1,280.07,280.07
MPT00000178,MNT0016105,MAT00249,2,284.35,568.7
MPT00000179,MNT0016105,MAT00235,1,322.49,322.49
MPT00000180,MNT0016066,MAT00246,1,350.51,350.51
MPT00000181,MNT0016066,MAT00247,2,718.56,1437.12
MPT00000182,MNT0017433,MAT00234,2,247.1,494.2
MPT00000183,MNT0017433,MAT00234,1,250.64,250.64
MPT00000184,MNT0017433,MAT00245,1,94.72,94.72
MPT00000185,MNT0025564,MAT00233,2,276.91,553.82
MPT00000186,MNT0025564,MAT00249,1,297.42,297.42
MPT00000187,MNT0018302,MAT00238,1,160.35,160.35
MPT00000188,MNT0009080,MAT00129,1,134.46,134.46
MPT00000189,MNT0009080,MAT00127,1,5799.08,5799.08
MPT00000190,MNT0024031,MAT00232,1,78.53,78.53
MPT00000191,MNT0010148,MAT00054,1,615.31,615.31
MPT00000192,MNT0006035,MAT00112,2,527.36,1054.72
MPT00000193,MNT0007033,MAT00007,1,745.74,745.74
MPT00000194,MNT0007033,MAT00007,2,864.29,1728.58
MPT00000195,MNT0008584,MAT00043,1,279.67,279.67
MPT00000196,MNT0008584,MAT00041,1,2630.7,2630.7
MPT00000197,MNT0008584,MAT00030,1,261.36,261.36
MPT00000198,MNT0002292,MAT00089,1,564.46,564.46
MPT00000199,MNT0002292,MAT00077,1,435.75,435.75
MPT00000200,MNT0028992,MAT00250,1,3293.78,3293.78
MPT00000201,MNT0028992,MAT00235,1,277.13,277.13
MPT00000202,MNT0028992,MAT00229,1,434.89,434.89
MPT00000203,MNT0023567,MAT00227,1,266.23,266.23
MPT00000204,MNT0023567,MAT00239,2,788.42,1576.84
MPT00000205,MNT0023567,MAT00229,3,424.69,1274.07
MPT00000206,MNT0014782,MAT00238,3,164.35,493.05
MPT00000207,MNT0014782,MAT00247,1,762.36,762.36
MPT00000208,MNT0014782,MAT00226,1,53.66,53.66
MPT00000209,MNT0028725,MAT00246,2,320.78,641.56
MPT00000210,MNT0016355,MAT00238,1,155.2,155.2
MPT00000211,MNT0006423,MAT00118,2,639.24,1278.48
MPT00000212,MNT0006423,MAT00102,1,284.35,284.35
MPT00000213,MNT0020527,MAT00227,1,247.06,247.06
MPT00000214,MNT0020527,MAT00241,1,163.16,163.16
MPT00000215,MNT0024662,MAT00242,2,164.77,329.54
MPT00000216,MNT0024662,MAT00228,1,64.01,64.01
MPT00000217,MNT0020984,MAT00239,1,759.22,759.22
MPT00000218,MNT0020984,MAT00244,1,210.05,210.05
MPT00000219,MNT0000568,MAT00049,1,86.19,86.19
MPT00000220,MNT0000568,MAT00026,2,554.46,1108.92
MPT00000221,MNT0021954,MAT00250,1,3165.1,3165.1
MPT00000222,MNT0025243,MAT00240,1,694.62,694.62
MPT00000223,MNT0025243,MAT00240,1,705.55,705.55
MPT00000224,MNT0017024,MAT00240,1,669.58,669.58
MPT00000225,MNT0007222,MAT00225,6,451.33,2707.98
MPT00000226,MNT0007222,MAT00204,2,1565.44,3130.88
MPT00000227,MNT0007222,MAT00216,1,124.49,124.49
MPT00000228,MNT0007222,MAT00207,1,173.09,173.09
MPT00000229,MNT0015369,MAT00233,2,266.57,533.14
MPT00000230,MNT0015369,MAT00249,1,338.76,338.76
MPT00000231,MNT0029109,MAT00249,1,336.37,336.37
MPT00000232,MNT0029109,MAT00233,1,257.27,257.27
MPT00000233,MNT0018488,MAT00241,1,163.7,163.7
MPT00000234,MNT0024182,MAT00244,1,196.83,196.83
MPT00000235,MNT0004990,MAT00050,1,122.11,122.11
MPT00000236,MNT0004990,MAT00040,1,191.9,191.9
MPT00000237,MNT0004990,MAT00030,1,223.32,223.32
MPT00000238,MNT0026001,MAT00233,1,243.02,243.02
MPT00000239,MNT0026001,MAT00243,1,1352.04,1352.04
MPT00000240,MNT0026001,MAT00227,1,258.89,258.89
MPT00000241,MNT0027194,MAT00247,1,715.36,715.36
MPT00000242,MNT0027194,MAT00245,1,86.15,86.15
MPT00000243,MNT0010570,MAT00024,1,117.48,117.48
MPT00000244,MNT0024754,MAT00235,1,308.81,308.81
MPT00000245,MNT0016654,MAT00233,1,270.88,270.88
MPT00000246,MNT0019323,MAT00228,2,62.46,124.92
MPT00000247,MNT0007734,MAT00100,1,1072.47,1072.47
MPT00000248,MNT0026062,MAT00239,1,737.01,737.01
MPT00000249,MNT0026062,MAT00232,1,76.46,76.46
MPT00000250,MNT0022898,MAT00246,1,366.13,366.13
MPT00000251,MNT0022898,MAT00245,2,96.82,193.64
MPT00000252,MNT0022898,MAT00245,1,95.55,95.55
MPT00000253,MNT0010949,MAT00231,1,439.19,439.19
MPT00000254,MNT0027007,MAT00249,3,291.44,874.32
MPT00000255,MNT0027007,MAT00235,1,317.25,317.25
MPT00000256,MNT0027007,MAT00247,1,696.07,696.07
MPT00000257,MNT0027129,MAT00250,1,2871.31,2871.31
MPT00000258,MNT0006826,MAT00139,1,163.45,163.45
MPT00000259,MNT0016188,MAT00237,1,1001.75,1001.75
MPT00000260,MNT0016188,MAT00238,2,160.14,320.28
MPT00000261,MNT0016188,MAT00243,2,1154.42,2308.84
MPT00000262,MNT0014021,MAT00238,1,162.05,162.05
MPT00000263,MNT0014334,MAT00235,1,318.66,318.66
MPT00000264,MNT0014334,MAT00247,1,764.46,764.46
MPT00000265,MNT0014334,MAT00250,1,2830.69,2830.69
MPT00000266,MNT0027542,MAT00249,1,274.88,274.88
MPT00000267,MNT0027542,MAT00227,1,252.34,252.34
MPT00000268,MNT0027542,MAT00230,1,376.69,376.69
MPT00000269,MNT0003016,MAT00008,1,114.04,114.04
MPT00000270,MNT0004106,MAT00113,1,1220.28,1220.28
MPT00000271,MNT0018044,MAT00245,1,90.07,90.07
MPT00000272,MNT0018044,MAT00239,1,741.22,741.22
MPT00000273,MNT0029888,MAT00239,1,718.76,718.76
MPT00000274,MNT0029888,MAT00244,1,176.76,176.76
MPT00000275,MNT0028353,MAT00232,1,66.52,66.52
MPT00000276,MNT0015010,MAT00246,1,316.82,316.82
MPT00000277,MNT0015010,MAT00244,2,179.4,358.8
MPT00000278,MNT0019330,MAT00240,3,612.76,1838.28
MPT00000279,MNT0008559,MAT00035,2,752.74,1505.48
MPT00000280,MNT0008559,MAT00045,1,271.1,271.1
MPT00000281,MNT0008559,MAT00034,2,79.99,159.98
MPT00000282,MNT0008832,MAT00122,1,300.27,300.27
MPT00000283,MNT0008832,MAT00106,1,111.23,111.23
MPT00000284,MNT0021861,MAT00235,1,319.37,319.37
MPT00000285,MNT0023484,MAT00238,1,175.27,175.27
MPT00000286,MNT0023484,MAT00228,1,69.4,69.4
MPT00000287,MNT0023484,MAT00234,1,282.32,282.32
MPT00000288,MNT0023484,MAT00249,1,281.38,281.38
MPT00000289,MNT0018147,MAT00239,2,670.68,1341.36
MPT00000290,MNT0018147,MAT00234,1,284.91,284.91
MPT00000291,MNT0023988,MAT00239,1,766.9,766.9
MPT00000292,MNT0023988,MAT00229,1,417.64,417.64
MPT00000293,MNT0021938,MAT00226,1,55.94,55.94
MPT00000294,MNT0021938,MAT00232,1,71.51,71.51
MPT00000295,MNT0023966,MAT00226,1,48.71,48.71
MPT00000296,MNT0023966,MAT00230,1,371.75,371.75
MPT00000297,MNT0001626,MAT00018,1,378.66,378.66
MPT00000298,MNT0014140,MAT00229,1,449.73,449.73
MPT00000299,MNT0014140,MAT00237,1,956.57,956.57
MPT00000300,MNT0016551,MAT00239,1,762.31,762.31
MPT00000301,MNT0012535,MAT00248,1,485.42,485.42
MPT00000302,MNT0012535,MAT00234,1,256.99,256.99
MPT00000303,MNT0012535,MAT00239,2,726.82,1453.64
MPT00000304,MNT0024240,MAT00236,1,188.02,188.02
MPT00000305,MNT0024116,MAT00242,1,199.7,199.7
MPT00000306,MNT0024116,MAT00244,1,192.87,192.87
MPT00000307,MNT0024116,MAT00244,1,211.09,211.09
MPT00000308,MNT0029829,MAT00228,1,66.38,66.38
MPT00000309,MNT0029829,MAT00233,1,257.98,257.98
MPT00000310,MNT0013646,MAT00237,1,1019.91,1019.91
MPT00000311,MNT0013646,MAT00239,1,772.62,772.62
MPT00000312,MNT0020345,MAT00249,1,308.49,308.49
MPT00000313,MNT0020345,MAT00237,4,914.91,3659.64
MPT00000314,MNT0020345,MAT00227,1,263.65,263.65
MPT00000315,MNT0013378,MAT00235,3,315.28,945.84
MPT00000316,MNT0013378,MAT00236,1,211.82,211.82
MPT00000317,MNT0013378,MAT00246,1,321.83,321.83
MPT00000318,MNT0010657,MAT00127,1,5668.59,5668.59
MPT00000319,MNT0026991,MAT00244,2,180.44,360.88
MPT00000320,MNT0011751,MAT00241,1,149.73,149.73
MPT00000321,MNT0011751,MAT00239,2,721.35,1442.7
MPT00000322,MNT0004458,MAT00022,1,115.24,115.24
MPT00000323,MNT0013219,MAT00234,1,290.03,290.03
MPT00000324,MNT0016002,MAT00227,1,247.07,247.07
MPT00000325,MNT0016002,MAT00230,1,447.63,447.63
MPT00000326,MNT0018059,MAT00249,2,324.24,648.48
MPT00000327,MNT0023240,MAT00243,1,1346.73,1346.73
MPT00000328,MNT0023240,MAT00238,1,155.07,155.07
MPT00000329,MNT0023240,MAT00250,1,3091.53,3091.53
MPT00000330,MNT0020512,MAT00228,1,61.9,61.9
MPT00000331,MNT0020512,MAT00244,2,182.18,364.36
MPT00000332,MNT0020512,MAT00238,1,158.85,158.85
MPT00000333,MNT0020512,MAT00231,1,380.62,380.62
MPT00000334,MNT0003211,MAT00112,1,504.23,504.23
MPT00000335,MNT0003211,MAT00124,1,135.53,135.53
MPT00000336,MNT0026410,MAT00245,1,94.0,94.0
MPT00000337,MNT0026410,MAT00242,1,189.62,189.62
MPT00000338,MNT0026410,MAT00228,1,75.19,75.19
MPT00000339,MNT0011794,MAT00235,1,314.43,314.43
MPT00000340,MNT0005240,MAT00065,1,136.01,136.01
MPT00000341,MNT0005240,MAT00065,1,135.76,135.76
MPT00000342,MNT0018011,MAT00227,1,260.28,260.28
MPT00000343,MNT0018011,MAT00242,1,183.19,183.19
MPT00000344,MNT0018011,MAT00238,1,185.64,185.64
MPT00000345,MNT0005339,MAT00138,2,252.81,505.62
MPT00000346,MNT0007492,MAT00223,1,250.84,250.84
MPT00000347,MNT0001595,MAT00104,1,454.6,454.6
MPT00000348,MNT0001595,MAT00108,1,1394.28,1394.28
MPT00000349,MNT0001595,MAT00115,1,29.82,29.82
MPT00000350,MNT0020325,MAT00236,1,175.94,175.94
MPT00000351,MNT0020325,MAT00236,2,174.58,349.16
MPT00000352,MNT0007786,MAT00107,1,953.69,953.69
MPT00000353,MNT0023684,MAT00226,1,56.94,56.94
MPT00000354,MNT0023684,MAT00236,1,206.07,206.07
MPT00000355,MNT0002933,MAT00003,2,1751.34,3502.68
MPT00000356,MNT0002933,MAT00023,1,545.34,545.34
MPT00000357,MNT0011662,MAT00231,2,360.29,720.58
MPT00000358,MNT0011662,MAT00238,2,157.33,314.66
MPT00000359,MNT0011662,MAT00227,1,260.77,260.77
MPT00000360,MNT0004958,MAT00128,1,93.78,93.78
MPT00000361,MNT0004958,MAT00127,1,6315.06,6315.06
MPT00000362,MNT0004958,MAT00127,1,5512.38,5512.38
MPT00000363,MNT0010878,MAT00246,1,295.26,295.26
MPT00000364,MNT0010878,MAT00243,1,1251.43,1251.43
MPT00000365,MNT0029038,MAT00233,1,231.78,231.78
MPT00000366,MNT0029038,MAT00231,1,370.84,370.84
MPT00000367,MNT0004026,MAT00225,1,460.17,460.17
MPT00000368,MNT0000521,MAT00063,4,225.18,900.72
MPT00000369,MNT0000521,MAT00071,1,191.9,191.9
MPT00000370,MNT0000521,MAT00071,1,201.53,201.53
MPT00000371,MNT0021383,MAT00246,1,352.58,352.58
MPT00000372,MNT0012923,MAT00236,1,211.66,211.66
MPT00000373,MNT0018292,MAT00234,1,300.48,300.48
MPT00000374,MNT0018292,MAT00244,1,202.65,202.65
MPT00000375,MNT0018103,MAT00228,1,74.51,74.51
