maintenance_id,elevator_id,maintenance_date,maintenance_type,issue_category,issue_description,technician_id,maintenance_status,downtime_hours,repair_cost,parts_cost,total_cost
MNT0015697,ELV00311,2025-05-19,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH084,Completed,1.9,91.9,3476.86,3568.76
MNT0020289,ELV00023,2025-12-26,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH075,Completed,2.4,100.97,1824.22,1925.19
MNT0021031,ELV00195,2026-03-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH097,Completed,1.8,50.41,585.13,635.54
MNT0016526,ELV00023,2025-01-19,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH065,Completed,2.4,69.97,103.66,173.63
MNT0025156,ELV00492,2025-02-03,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH025,Completed,1.1,57.23,0.0,57.23
MNT0011192,ELV00181,2025-05-29,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH051,Completed,1.7,50.0,321.54,371.54
MNT0026681,ELV00262,2025-02-24,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH051,Completed,1.5,148.81,698.42,847.23
MNT0012374,ELV00274,2025-06-08,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH098,Completed,1.3,132.05,709.22,841.27
MNT0024584,ELV00048,2026-06-23,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH075,Completed,2.4,68.29,685.07,753.36
MNT0003595,ELV00013,2026-04-19,Corrective,Car Leveling Fault,Car Leveling Fault detected via IoT alarm (E909); technician dispatched for corrective action.,TCH040,Completed,0.9,477.55,4362.85,4840.4
MNT0021680,ELV00139,2025-10-29,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH001,Completed,1.3,63.71,0.0,63.71
MNT0006946,ELV00199,2025-11-09,Emergency,Door System Malfunction,Door System Malfunction detected via IoT alarm (E101); technician dispatched for emergency action.,TCH025,Completed,4.4,2621.65,33.49,2655.14
MNT0011177,ELV00263,2025-05-26,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH016,Completed,0.7,90.72,528.54,619.26
MNT0027766,ELV00344,2026-06-14,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH046,Completed,1.8,50.0,804.3,854.3
MNT0021781,ELV00203,2025-06-19,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH008,Completed,1.4,50.0,800.98,850.98
MNT0000908,ELV00191,2026-05-07,Corrective,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for corrective action.,TCH052,Completed,1.3,128.28,9.84,138.12
MNT0017173,ELV00198,2025-11-07,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH098,Completed,2.1,73.0,0.0,73.0
MNT0002169,ELV00140,2026-04-25,Emergency,Motor Overheating,Motor Overheating detected via IoT alarm (E303); technician dispatched for emergency action.,TCH094,Completed,6.1,471.21,538.13,1009.34
MNT0026994,ELV00040,2025-09-26,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH098,Completed,1.9,78.17,507.01,585.18
MNT0024376,ELV00235,2025-08-02,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH050,Completed,0.9,108.39,0.0,108.39
MNT0022447,ELV00003,2025-05-23,Preventive,Routine Inspection,Scheduled preventive maintenance and safety inspection per service contract.,TCH078,Completed,2.5,154.09,165.78,319.87
MNT0001373,ELV00042,2026-05-04,Emergency,Control Communication Fault,Control Communication Fault detected via IoT alarm (E707); technician dispatched for emergency action.,TCH027,Completed,1.0,767.46,542.57,1310.03
