production_order_id,product_id,machine_id,production_date,planned_quantity,actual_quantity,production_status,start_time,end_time
PRD0000001,MZ-FG-E101,MC029,2025-09-23,34,34,Completed,2025-09-23 07:00:00,2025-09-23 18:00:00
PRD0000002,MZ-FG-R200,MC005,2025-02-23,20,18,Completed,2025-02-23 17:30:00,2025-02-23 19:30:00
PRD0000003,MZ-TG-Y200,MC008,2025-12-06,166,161,Completed,2025-12-06 22:45:00,2025-12-07 03:45:00
PRD0000004,FG226,MC003,2025-01-11,76,70,Completed,2025-01-11 23:00:00,2025-01-12 04:00:00
PRD0000005,MZ-FG-C900,MC039,2025-08-13,26,25,Completed,2025-08-13 18:45:00,2025-08-13 21:45:00
PRD0000006,M1,MC025,2026-05-10,67,67,Delayed,2026-05-10 18:15:00,2026-05-10 23:15:00
PRD0000007,MZ-FG-C10,MC035,2026-01-24,89,82,Completed,2026-01-24 16:15:00,2026-01-24 19:15:00
PRD0000008,MZ-FG-E108,MC007,2025-09-19,62,59,Delayed,2025-09-19 08:15:00,2025-09-19 10:15:00
PRD0000009,MZ-FG-R100,MC006,2026-06-08,40,40,Completed,2026-06-08 17:00:00,2026-06-08 21:00:00
PRD0000010,MZ-FG-R100,MC013,2026-03-08,55,52,Completed,2026-03-08 22:45:00,2026-03-09 04:45:00
PRD0000011,MZ-TG-A25,MC009,2025-01-15,67,66,Completed,2025-01-15 06:15:00,2025-01-15 13:15:00
PRD0000012,MZ-FG-P010,MC028,2025-12-10,89,87,Completed,2025-12-10 10:00:00,2025-12-10 16:00:00
PRD0000013,MZ-TG-A25,MC021,2026-04-25,40,33,Completed,2026-04-25 17:30:00,2026-04-25 21:30:00
PRD0000014,MZ-FG-R300,MC011,2025-02-13,33,31,Completed,2025-02-13 15:00:00,2025-02-13 17:00:00
PRD0000015,MZ-FG-M500,MC020,2025-09-05,85,21,In Progress,2025-09-05 09:15:00,2025-09-05 11:15:00
PRD0000016,MZ-TG-SR01,MC001,2025-03-26,36,0,Scheduled,2025-03-26 15:30:00,2025-03-27 00:30:00
PRD0000017,MZ-FG-E16,MC034,2025-08-21,48,46,Completed,2025-08-21 08:00:00,2025-08-21 16:00:00
PRD0000018,FG226,MC035,2025-03-30,18,18,Completed,2025-03-30 15:15:00,2025-03-31 00:15:00
PRD0000019,MZ-FG-E15,MC046,2026-06-30,76,74,Delayed,2026-06-30 15:30:00,2026-07-01 00:30:00
PRD0000020,MZ-FG-P010,MC010,2026-02-10,91,88,Completed,2026-02-10 17:45:00,2026-02-10 20:45:00
PRD0000021,MZ-FG-R300,MC034,2025-02-12,778,729,Completed,2025-02-12 02:00:00,2025-02-12 06:00:00
PRD0000022,MZ-FG-C20,MC036,2025-12-23,113,108,Completed,2025-12-23 12:45:00,2025-12-23 19:45:00
PRD0000023,MZ-FG-R200,MC044,2025-06-13,36,35,Completed,2025-06-13 05:30:00,2025-06-13 19:30:00
PRD0000024,MZ-TG-Y200,MC047,2026-03-04,108,102,Completed,2026-03-04 08:00:00,2026-03-04 14:00:00
