po_item_id,po_id,material_id,quantity,unit_price,total_value,delivery_status
POI00000001,PO0000001,MAT00031,16,161.16,2578.56,Pending
POI00000002,PO0000001,MAT00033,6,103.45,620.7,Delivered
POI00000003,PO0000002,MAT00068,61,134.85,8225.85,Delivered
POI00000004,PO0000002,MAT00072,10,548.23,5482.3,Partially Delivered
POI00000005,PO0000002,MAT00074,20,211.63,4232.6,Cancelled
POI00000006,PO0000003,MAT00150,12,183.46,2201.52,Delivered
POI00000007,PO0000004,MAT00092,14,625.93,8763.02,Delivered
POI00000008,PO0000004,MAT00076,75,67.3,5047.5,Delivered
POI00000009,PO0000005,MAT00192,13,178.2,2316.6,Delivered
POI00000010,PO0000006,MAT00060,18,134.07,2413.26,Pending
POI00000011,PO0000006,MAT00058,48,62.98,3023.04,Cancelled
POI00000012,PO0000007,MAT00211,14,304.17,4258.38,Delivered
POI00000013,PO0000008,MAT00092,8,636.9,5095.2,Delivered
POI00000014,PO0000009,MAT00283,30,59.02,1770.6,Delivered
POI00000015,PO0000009,MAT00277,16,1138.83,18221.28,Delivered
POI00000016,PO0000010,MAT00202,6,61.86,371.16,Delivered
POI00000017,PO0000011,MAT00051,29,66.6,1931.4,Partially Delivered
POI00000018,PO0000011,MAT00052,61,763.13,46550.93,Delivered
POI00000019,PO0000011,MAT00060,26,140.97,3665.22,Partially Delivered
POI00000020,PO0000012,MAT00008,13,94.61,1229.93,Delivered
POI00000021,PO0000012,MAT00268,9,157.2,1414.8,Delivered
POI00000022,PO0000012,MAT00076,20,79.24,1584.8,Delivered
POI00000023,PO0000012,MAT00029,66,209.82,13848.12,Delivered
POI00000024,PO0000013,MAT00125,54,51.63,2788.02,Delivered
POI00000025,PO0000013,MAT00104,68,448.26,30481.68,Delivered
POI00000026,PO0000013,MAT00109,10,441.17,4411.7,Cancelled
POI00000027,PO0000014,MAT00084,11,189.08,2079.88,Delivered
POI00000028,PO0000015,MAT00192,38,177.99,6763.62,Cancelled
POI00000029,PO0000015,MAT00192,54,168.45,9096.3,Delivered
POI00000030,PO0000015,MAT00179,20,86.47,1729.4,Pending
POI00000031,PO0000015,MAT00192,46,153.52,7061.92,Delivered
POI00000032,PO0000016,MAT00120,55,87.03,4786.65,Delivered
POI00000033,PO0000017,MAT00245,70,88.31,6181.7,Delivered
POI00000034,PO0000017,MAT00240,20,674.8,13496.0,Delivered
POI00000035,PO0000018,MAT00016,8,533.99,4271.92,Delivered
POI00000036,PO0000019,MAT00180,108,254.54,27490.32,Delivered
POI00000037,PO0000019,MAT00180,9,240.63,2165.67,Delivered
POI00000038,PO0000019,MAT00181,24,157.78,3786.72,Delivered
POI00000039,PO0000020,MAT00038,157,777.57,122078.49,Cancelled
POI00000040,PO0000020,MAT00046,81,448.87,36358.47,Partially Delivered
POI00000041,PO0000021,MAT00243,25,1321.18,33029.5,Delivered
POI00000042,PO0000021,MAT00247,16,690.47,11047.52,Delivered
POI00000043,PO0000022,MAT00275,152,315.97,48027.44,Partially Delivered
POI00000044,PO0000022,MAT00252,21,855.32,17961.72,Pending
POI00000045,PO0000023,MAT00095,12,30.24,362.88,Delivered
POI00000046,PO0000023,MAT00096,25,304.95,7623.75,Delivered
POI00000047,PO0000024,MAT00013,171,121.33,20747.43,Delivered
POI00000048,PO0000024,MAT00016,8,607.18,4857.44,Delivered
POI00000049,PO0000025,MAT00090,83,258.94,21492.02,Delivered
POI00000050,PO0000025,MAT00232,2,74.69,149.38,Delivered
POI00000051,PO0000026,MAT00229,86,390.03,33542.58,Pending
POI00000052,PO0000027,MAT00210,10,315.43,3154.3,Delivered
POI00000053,PO0000027,MAT00210,9,340.55,3064.95,Delivered
POI00000054,PO0000028,MAT00250,68,2887.04,196318.72,Delivered
POI00000055,PO0000028,MAT00244,13,188.52,2450.76,Delivered
POI00000056,PO0000028,MAT00249,38,310.78,11809.64,Delivered
POI00000057,PO0000028,MAT00246,21,338.59,7110.39,Delivered
POI00000058,PO0000029,MAT00298,41,33.45,1371.45,Delivered
POI00000059,PO0000029,MAT00298,130,30.99,4028.7,Delivered
POI00000060,PO0000029,MAT00285,22,64.76,1424.72,Delivered
POI00000061,PO0000029,MAT00285,16,67.65,1082.4,Delivered
POI00000062,PO0000030,MAT00217,10,143.22,1432.2,Delivered
POI00000063,PO0000031,MAT00280,11,468.28,5151.08,Pending
POI00000064,PO0000032,MAT00282,12,210.44,2525.28,Pending
POI00000065,PO0000032,MAT00300,5,445.33,2226.65,Pending
POI00000066,PO0000032,MAT00296,21,86.51,1816.71,Pending
POI00000067,PO0000033,MAT00153,5,169.99,849.95,Pending
POI00000068,PO0000034,MAT00141,24,52.53,1260.72,Delivered
POI00000069,PO0000034,MAT00136,3,164.46,493.38,Delivered
POI00000070,PO0000034,MAT00145,27,247.05,6670.35,Delivered
POI00000071,PO0000035,MAT00213,49,319.51,15655.99,Delivered
POI00000072,PO0000035,MAT00203,53,75.61,4007.33,Delivered
POI00000073,PO0000035,MAT00204,4,1245.12,4980.48,Delivered
POI00000074,PO0000036,MAT00180,68,237.54,16152.72,Delivered
POI00000075,PO0000036,MAT00180,53,260.24,13792.72,Pending
POI00000076,PO0000036,MAT00181,35,178.02,6230.7,Pending
POI00000077,PO0000037,MAT00165,29,408.94,11859.26,Delivered
POI00000078,PO0000037,MAT00178,15,1125.78,16886.7,Delivered
POI00000079,PO0000037,MAT00234,32,259.94,8318.08,Delivered
POI00000080,PO0000037,MAT00013,15,122.2,1833.0,Delivered
POI00000081,PO0000038,MAT00038,11,736.79,8104.69,Partially Delivered
POI00000082,PO0000038,MAT00038,13,788.11,10245.43,Cancelled
POI00000083,PO0000038,MAT00046,9,449.9,4049.1,Cancelled
POI00000084,PO0000038,MAT00038,19,723.33,13743.27,Partially Delivered
POI00000085,PO0000039,MAT00065,2,133.0,266.0,Delivered
POI00000086,PO0000039,MAT00075,26,111.22,2891.72,Delivered
POI00000087,PO0000040,MAT00004,6,251.44,1508.64,Delivered
POI00000088,PO0000040,MAT00004,1,247.71,247.71,Delivered
POI00000089,PO0000041,MAT00089,42,520.75,21871.5,Pending
POI00000090,PO0000042,MAT00283,12,48.67,584.04,Delivered
POI00000091,PO0000042,MAT00277,41,1094.13,44859.33,Delivered
POI00000092,PO0000043,MAT00278,44,1589.66,69945.04,Delivered
POI00000093,PO0000044,MAT00050,3,117.78,353.34,Pending
POI00000094,PO0000045,MAT00201,1,163.63,163.63,Delivered
POI00000095,PO0000046,MAT00111,30,77.94,2338.2,Cancelled
POI00000096,PO0000046,MAT00111,6,73.97,443.82,Delivered
POI00000097,PO0000047,MAT00155,30,579.27,17378.1,Delivered
POI00000098,PO0000048,MAT00004,18,242.11,4357.98,Delivered
POI00000099,PO0000049,MAT00276,3,53.75,161.25,Delivered
POI00000100,PO0000049,MAT00264,31,826.03,25606.93,Delivered
POI00000101,PO0000050,MAT00250,7,3192.06,22344.42,Delivered
POI00000102,PO0000050,MAT00244,32,168.58,5394.56,Delivered
POI00000103,PO0000051,MAT00201,10,148.97,1489.7,Delivered
POI00000104,PO0000051,MAT00201,27,164.81,4449.87,Delivered
POI00000105,PO0000051,MAT00201,56,138.85,7775.6,Delivered
POI00000106,PO0000052,MAT00217,2,148.53,297.06,Delivered
POI00000107,PO0000053,MAT00056,12,79.9,958.8,Delivered
POI00000108,PO0000053,MAT00067,5,590.93,2954.65,Delivered
POI00000109,PO0000054,MAT00135,54,59.56,3216.24,Delivered
POI00000110,PO0000054,MAT00134,24,58.21,1397.04,Delivered
