po_id,supplier_id,po_date,expected_delivery_date,actual_delivery_date,po_status,total_amount
PO0000001,SUP0005,2025-10-20,2025-11-16,2025-11-23,Delayed,3199.26
PO0000002,SUP0060,2026-01-14,2026-01-29,2026-02-04,Delayed,17940.75
PO0000003,SUP0059,2026-05-26,2026-06-16,2026-06-14,Completed,2201.52
PO0000004,SUP0066,2026-03-19,2026-04-21,2026-04-20,Completed,13810.52
PO0000005,SUP0080,2026-03-21,2026-04-19,2026-04-27,Completed,2316.6
PO0000006,SUP0008,2025-04-20,2025-05-27,,In Progress,5436.3
PO0000007,SUP0049,2025-06-07,2025-06-27,2025-06-26,Completed,4258.38
PO0000008,SUP0066,2026-05-23,2026-06-21,2026-06-16,Completed,5095.2
PO0000009,SUP0050,2025-10-06,2025-10-22,2025-10-23,Completed,19991.88
PO0000010,SUP0049,2025-03-07,2025-03-30,2025-04-06,Completed,371.16
PO0000011,SUP0008,2025-07-11,2025-07-29,,Cancelled,52147.55
PO0000012,SUP0022,2025-10-31,2025-11-14,2025-11-11,Completed,18077.65
PO0000013,SUP0010,2025-04-16,2025-05-11,,Pending Approval,37681.4
PO0000014,SUP0075,2025-03-04,2025-03-27,2025-04-04,Completed,2079.88
PO0000015,SUP0080,2026-04-14,2026-05-05,,In Progress,24651.24
PO0000016,SUP0093,2025-12-06,2025-12-31,2026-01-03,Completed,4786.65
PO0000017,SUP0086,2026-03-26,2026-04-18,2026-04-20,Completed,19677.7
PO0000018,SUP0011,2025-11-24,2025-12-22,2025-12-25,Completed,4271.92
PO0000019,SUP0076,2025-10-02,2025-10-12,2025-10-15,Completed,33442.71
PO0000020,SUP0024,2025-03-14,2025-04-06,,Cancelled,158436.96
PO0000021,SUP0071,2025-04-27,2025-05-23,2025-05-22,Completed,44077.02
PO0000022,SUP0100,2026-01-06,2026-02-16,2026-02-20,Delayed,65989.16
PO0000023,SUP0061,2026-03-01,2026-03-06,2026-03-11,Completed,7986.63
PO0000024,SUP0011,2026-01-02,2026-01-20,2026-01-26,Completed,25604.87
PO0000025,SUP0012,2025-06-07,2025-07-14,2025-07-18,Completed,21641.4
PO0000026,SUP0040,2025-04-22,2025-05-25,2025-06-10,Delayed,33542.58
