inspection_id,production_order_id,product_id,inspection_date,inspected_quantity,defect_quantity,defect_rate,quality_status,defect_type
QI0000001,PRD0000001,MZ-FG-E101,2025-09-23,34,5,0.1471,Fail,Dimensional Deviation
QI0000002,PRD0000002,MZ-FG-R200,2025-02-23,18,1,0.0556,Conditional Pass,Material Crack
QI0000003,PRD0000003,MZ-TG-Y200,2025-12-06,161,3,0.0186,Pass,Weld Defect
QI0000004,PRD0000004,FG226,2025-01-11,70,1,0.0143,Pass,Wiring Fault
QI0000005,PRD0000005,MZ-FG-C900,2025-08-13,25,1,0.04,Conditional Pass,Dimensional Deviation
QI0000006,PRD0000006,M1,2026-05-10,67,4,0.0597,Conditional Pass,Electrical Fault
QI0000007,PRD0000007,MZ-FG-C10,2026-01-24,82,2,0.0244,Pass,Material Crack
QI0000008,PRD0000008,MZ-FG-E108,2025-09-19,59,4,0.0678,Conditional Pass,Assembly Misalignment
QI0000009,PRD0000009,MZ-FG-R100,2026-06-09,40,6,0.15,Fail,Paint Inconsistency
QI0000010,PRD0000010,MZ-FG-R100,2026-03-09,52,5,0.0962,Conditional Pass,Paint Inconsistency
QI0000011,PRD0000011,MZ-TG-A25,2025-01-16,66,10,0.1515,Fail,Electrical Fault
QI0000012,PRD0000012,MZ-FG-P010,2025-12-11,87,2,0.023,Pass,Surface Scratch
QI0000013,PRD0000013,MZ-TG-A25,2026-04-25,33,1,0.0303,Conditional Pass,Surface Scratch
QI0000014,PRD0000014,MZ-FG-R300,2025-02-13,31,0,0.0,Pass,None
QI0000015,PRD0000015,MZ-FG-M500,2025-09-05,21,2,0.0952,Conditional Pass,Electrical Fault
QI0000016,PRD0000016,MZ-TG-SR01,2025-03-26,3,0,0.0,Pass,None
QI0000017,PRD0000017,MZ-FG-E16,2025-08-21,46,0,0.0,Pass,None
QI0000018,PRD0000018,FG226,2025-03-30,18,1,0.0556,Conditional Pass,Dimensional Deviation
QI0000019,PRD0000019,MZ-FG-E15,2026-06-30,74,1,0.0135,Pass,Wiring Fault
QI0000020,PRD0000020,MZ-FG-P010,2026-02-10,88,4,0.0455,Conditional Pass,Weld Defect
QI0000021,PRD0000021,MZ-FG-R300,2025-02-12,729,43,0.059,Conditional Pass,Assembly Misalignment
QI0000022,PRD0000022,MZ-FG-C20,2025-12-23,108,3,0.0278,Pass,Dimensional Deviation
QI0000023,PRD0000023,MZ-FG-R200,2025-06-13,35,0,0.0,Pass,None
QI0000024,PRD0000024,MZ-TG-Y200,2026-03-05,102,3,0.0294,Pass,Assembly Misalignment
QI0000025,PRD0000025,CM-FL-V00,2026-02-04,6,0,0.0,Pass,None
QI0000026,PRD0000026,CM-FL-V00,2025-04-15,36,8,0.2222,Fail,Weld Defect
QI0000027,PRD0000027,MZ-FG-E103,2025-01-31,33,1,0.0303,Conditional Pass,Surface Scratch
QI0000028,PRD0000028,MZ-TG-A27,2025-10-20,64,8,0.125,Fail,Surface Scratch
QI0000029,PRD0000029,CM-FL-V00,2025-07-23,49,1,0.0204,Pass,Material Crack
QI0000030,PRD0000030,MZ-TG-A20,2026-06-06,52,2,0.0385,Conditional Pass,Dimensional Deviation
QI0000031,PRD0000031,MZ-FG-R300,2025-01-22,39,5,0.1282,Fail,Assembly Misalignment
QI0000032,PRD0000032,MZ-FG-M525,2026-02-03,13,1,0.0769,Conditional Pass,Surface Scratch
QI0000033,PRD0000033,MZ-FG-M525,2026-06-11,15,1,0.0667,Conditional Pass,Surface Scratch
QI0000034,PRD0000034,MZ-FG-E102,2026-04-11,80,1,0.0125,Pass,Dimensional Deviation
QI0000035,PRD0000035,MZ-FG-C900,2025-02-22,33,1,0.0303,Conditional Pass,Paint Inconsistency
QI0000036,PRD0000036,MZ-FG-C20,2025-07-06,98,8,0.0816,Conditional Pass,Weld Defect
QI0000037,PRD0000037,MZ-TG-A20,2025-03-01,58,9,0.1552,Fail,Surface Scratch
QI0000038,PRD0000038,MZ-FG-E16,2025-01-18,38,4,0.1053,Fail,Surface Scratch
QI0000039,PRD0000039,MZ-FG-R300,2025-08-01,146,1,0.0068,Pass,Surface Scratch
QI0000040,PRD0000040,MZ-TG-Y200,2025-02-19,56,5,0.0893,Conditional Pass,Assembly Misalignment
QI0000041,PRD0000041,MZ-TG-A26,2026-03-31,35,2,0.0571,Conditional Pass,Assembly Misalignment
QI0000042,PRD0000042,FG226,2026-04-22,196,2,0.0102,Pass,Surface Scratch
QI0000043,PRD0000043,MZ-FG-P010,2025-12-12,27,0,0.0,Pass,None
QI0000044,PRD0000044,MZ-FG-E108,2025-01-27,66,6,0.0909,Conditional Pass,Paint Inconsistency
QI0000045,PRD0000045,MZ-TG-A26,2025-02-09,24,0,0.0,Pass,None
QI0000046,PRD0000046,MZ-TG-E202,2025-08-23,123,4,0.0325,Conditional Pass,Surface Scratch
QI0000047,PRD0000047,MZ-FG-E101,2026-01-17,77,2,0.026,Pass,Material Crack
QI0000048,PRD0000048,MZ-FG-E17,2026-03-09,7,0,0.0,Pass,None
QI0000049,PRD0000049,MZ-FG-M500,2025-05-29,16,0,0.0,Pass,None
QI0000050,PRD0000050,MZ-FG-C10,2025-04-27,8,0,0.0,Pass,None
QI0000051,PRD0000051,MZ-FG-M550,2025-03-29,35,1,0.0286,Pass,Dimensional Deviation
QI0000052,PRD0000052,TG11,2025-02-03,62,1,0.0161,Pass,Paint Inconsistency
QI0000053,PRD0000053,MZ-FG-E16,2025-02-07,31,5,0.1613,Fail,Surface Scratch
QI0000054,PRD0000054,MZ-FG-M525,2026-01-02,43,1,0.0233,Pass,Surface Scratch
QI0000055,PRD0000055,MZ-FG-P010,2025-03-02,90,3,0.0333,Conditional Pass,Material Crack
QI0000056,PRD0000056,MZ-TG-A26,2026-04-29,45,1,0.0222,Pass,Paint Inconsistency
QI0000057,PRD0000057,MZ-FG-C990,2025-09-07,70,8,0.1143,Fail,Surface Scratch
QI0000058,PRD0000058,MZ-FG-R300,2026-03-06,19,2,0.1053,Fail,Material Crack
QI0000059,PRD0000059,MZ-TG-A27,2026-02-04,66,1,0.0152,Pass,Weld Defect
QI0000060,PRD0000060,M-01,2025-02-28,13,2,0.1538,Fail,Paint Inconsistency
QI0000061,PRD0000061,MZ-TG-Y200,2026-03-09,34,0,0.0,Pass,None
QI0000062,PRD0000062,MZ-TG-A26,2025-06-12,289,3,0.0104,Pass,Paint Inconsistency
QI0000063,PRD0000063,MZ-FG-E108,2025-06-27,36,1,0.0278,Pass,Assembly Misalignment
QI0000064,PRD0000064,MZ-FG-C10,2025-02-12,105,2,0.019,Pass,Assembly Misalignment
QI0000065,PRD0000065,MZ-TG-Y120,2026-02-02,18,1,0.0556,Conditional Pass,Assembly Misalignment
QI0000066,PRD0000066,MZ-FG-C20,2025-03-04,123,5,0.0407,Conditional Pass,Wiring Fault
QI0000067,PRD0000067,MZ-TG-A25,2025-12-18,7,0,0.0,Pass,None
QI0000068,PRD0000068,MZ-FG-C20,2025-03-24,68,4,0.0588,Conditional Pass,Electrical Fault
QI0000069,PRD0000069,MZ-TG-A20,2026-01-23,23,1,0.0435,Conditional Pass,Dimensional Deviation
QI0000070,PRD0000070,MZ-FG-E103,2025-08-21,83,17,0.2048,Fail,Assembly Misalignment
QI0000071,PRD0000071,MZ-TG-A26,2025-04-17,49,2,0.0408,Conditional Pass,Surface Scratch
QI0000072,PRD0000072,MZ-TG-SR01,2025-06-15,120,3,0.025,Pass,Surface Scratch
QI0000073,PRD0000073,TG11,2025-03-11,82,1,0.0122,Pass,Surface Scratch
QI0000074,PRD0000074,MZ-FG-M550,2026-04-03,25,2,0.08,Conditional Pass,Dimensional Deviation
QI0000075,PRD0000075,MZ-FG-P010,2025-11-19,71,15,0.2113,Fail,Electrical Fault
QI0000076,PRD0000076,MZ-TG-A26,2025-08-05,39,3,0.0769,Conditional Pass,Electrical Fault
QI0000077,PRD0000077,MZ-TG-A20,2025-10-27,18,0,0.0,Pass,None
QI0000078,PRD0000078,FG226,2026-04-23,43,1,0.0233,Pass,Surface Scratch
QI0000079,PRD0000079,MZ-FG-R100,2026-06-16,24,2,0.0833,Conditional Pass,Weld Defect
QI0000080,PRD0000080,MZ-FG-M500,2025-06-28,110,6,0.0545,Conditional Pass,Material Crack
QI0000081,PRD0000081,MZ-FG-E15,2026-03-12,109,5,0.0459,Conditional Pass,Material Crack
QI0000082,PRD0000082,M-01,2025-07-27,34,1,0.0294,Pass,Dimensional Deviation
QI0000083,PRD0000083,MZ-FG-R300,2026-01-09,54,1,0.0185,Pass,Assembly Misalignment
QI0000084,PRD0000084,MZ-FG-R200,2025-12-03,85,2,0.0235,Pass,Wiring Fault
QI0000085,PRD0000085,MZ-FG-C10,2026-06-18,41,14,0.3415,Fail,Assembly Misalignment
QI0000086,PRD0000086,MZ-TG-A26,2025-01-28,32,1,0.0312,Conditional Pass,Material Crack
QI0000087,PRD0000087,FG226,2026-05-11,76,5,0.0658,Conditional Pass,Wiring Fault
QI0000088,PRD0000088,MZ-FG-E103,2025-03-23,32,0,0.0,Pass,None
QI0000089,PRD0000089,MZ-FG-M550,2025-07-01,21,0,0.0,Pass,None
QI0000090,PRD0000090,MZ-FG-E102,2025-10-14,15,0,0.0,Pass,None
QI0000091,PRD0000091,MZ-TG-SR01,2026-02-16,24,1,0.0417,Conditional Pass,Weld Defect
QI0000092,PRD0000092,MZ-FG-P010,2025-06-12,44,5,0.1136,Fail,Assembly Misalignment
QI0000093,PRD0000093,MZ-FG-M525,2025-06-27,253,41,0.1621,Fail,Surface Scratch
